学科,年级,学期,知识标签,题型,题目,题目图片,选项A,选项B,选项C,选项D,答案,解析,难度
数学,四年级,下册,条件筛选,角度计算,一个三角形有两个角都是45°，第三个角是多少度？,,45°,60°,135°,90°,D,三角形内角和是180°，180减45再减45等于90°。,1
数学,四年级,下册,条件筛选,价格比较,3.2元、2.8元、3.5元中，最小的是哪一个？,,2.8元,3.2元,3.5元,一样大,A,比较整数部分和小数部分，2.8元最小。,1
数学,四年级,下册,条件筛选,数位认识,小数点右边第一位是什么位？,,个位,十分位,百分位,十位,B,小数点右边第一位是十分位。,1
数学,四年级,下册,条件筛选,角度判断,一个等边三角形的每个角都是多少度？,,45°,90°,60°,120°,C,等边三角形三个角相等，180°平均分成3份，每个角是60°。,1
语文,四年级,下册,条件筛选,课文理解,《海上日出》主要是按什么顺序来写的？,,地点顺序,人物顺序,事情大小顺序,时间顺序,D,课文是按太阳升起前、升起时、升起后的顺序来写的。,1
语文,四年级,下册,条件筛选,课文理解,《记金华的双龙洞》里，从外洞到内洞要经过哪里？,,孔隙,山脚,溪边,石桥,A,作者是通过狭窄的孔隙进入内洞的。,1
语文,四年级,下册,条件筛选,课文理解,《巨人的花园》后来又有了春天，主要因为什么？,,巨人把树都砍掉了,巨人欢迎孩子们回来,花园搬到了山上,天气忽然变热了,B,巨人明白了快乐应和大家分享，于是欢迎孩子们回来。,1
语文,四年级,下册,条件筛选,通知理解,通知：周四下午3点到科学教室做实验，请同学们2点50分前到。最晚什么时候到？,,3点整,2点40分,2点50分前,3点10分,C,通知明确要求2点50分前到。,1
语文,四年级,下册,条件筛选,词语理解,“屏息凝视”最能说明猫怎样？,,跑得很快,睡得很香,叫得很响,看得很专心,D,“屏息凝视”说明猫专心地看着。,1
数学,四年级,下册,多步计算,多步计算,买3盒彩泥，每盒14元，又买1把剪刀8元，一共多少元？,,50,49,51,52,A,3盒彩泥共42元，再加8元，一共50元。,2
数学,四年级,下册,多步计算,小数计算,一条绳子长8米，先剪下2.6米，又剪下1.8米，还剩多少米？,,3.2米,3.6米,4.2米,4.6米,B,8减2.6再减1.8，等于3.6米。,2
数学,四年级,下册,多步计算,面积应用,一块菜地长24米，宽15米，每平方米收2千克青菜，一共收多少千克？,,719,721,720,722,C,菜地面积是360平方米，再乘2，一共收720千克。,2
数学,四年级,下册,多步计算,平均数应用,5个同样的盒子共装牛奶95瓶，平均每盒装多少瓶？,,18,20,21,19,D,95平均分成5份，每份是19。,2
数学,四年级,下册,多步计算,多步计算,一辆货车上午运240箱，下午又运185箱，平均分给5个超市，每个超市分到多少箱？,,85,84,86,87,A,两次共运425箱，425除以5等于85。,2
语文,四年级,下册,多步计算,课文理解,《乡下人家》主要想表达作者什么感情？,,讨厌乡下的泥土,喜爱和赞美乡下生活,只想住进城市,担心天气太热,B,课文通过许多景象表达了作者对乡下生活的喜爱和赞美。,2
语文,四年级,下册,多步计算,课文理解,《猫》一文先写老实、贪玩、尽职，再写淘气，主要想说明什么？,,猫只会睡觉,猫很怕主人,猫的性格古怪又可爱,猫不喜欢玩,C,这样写是为了表现猫既古怪又可爱。,2
语文,四年级,下册,多步计算,课文理解,《巨人的花园》里，花园后来常年洋溢着欢乐，最主要的原因是什么？,,花园搬了地方,天气天天下雨,树木全都砍掉了,巨人愿意与孩子们分享花园,D,巨人学会了和孩子们分享，花园才恢复生机。,2
语文,四年级,下册,多步计算,课文理解,《海上日出》里，太阳完全跳出海面后，海面变得怎样？,,亮光夺目,一片漆黑,安静无波,全是乌云,A,太阳出来后，海面被照得亮光夺目。,2
语文,四年级,下册,多步计算,顺序理解,小杰先看说明书，再拼装模型，最后涂颜色。涂颜色前要做什么？,,看说明书,拼装模型,收拾书桌,去洗手,B,按顺序，涂颜色前一步是拼装模型。,2
数学,四年级,下册,图表整合,图表分析,阅读记录表：故事书58页，科普书63页，漫画书49页。读得最多的是哪一类？,,故事书,漫画书,科普书,一样多,C,63页最多，所以读得最多的是科普书。,2
数学,四年级,下册,图表整合,图表分析,饮水记录：周一36瓶，周二42瓶，周三39瓶。哪一天喝得最多？,,周一,周三,三天一样多,周二,D,42瓶最多，所以是周二。,2
数学,四年级,下册,图表整合,图表分析,水果重量表：苹果2.5千克，梨3.2千克，香蕉2.8千克。最重的是哪一种？,,梨,苹果,香蕉,一样重,A,3.2千克最大，所以梨最重。,2
数学,四年级,下册,图表整合,图表分析,文具价格表：圆规8元5角，三角尺6元8角，量角器7元2角。最便宜的是哪一种？,,圆规,三角尺,量角器,一样便宜,B,6元8角最低，所以三角尺最便宜。,2
数学,四年级,下册,图表整合,图表分析,班车时刻表：第一班8:10，第二班8:25，第三班8:40。最早发车的是哪一班？,,第二班,第三班,第一班,三班一样早,C,8:10最早。,2
数学,四年级,下册,图表整合,图表分析,气温记录：周一25℃，周二29℃，周三27℃。哪一天最热？,,周一,周三,三天一样热,周二,D,29℃最高，所以周二最热。,2
数学,四年级,下册,图表整合,图表分析,跳远成绩表：小林158厘米，小东163厘米，小安155厘米。谁跳得最远？,,小东,小林,小安,三人一样远,A,163厘米最大，所以小东跳得最远。,2
数学,四年级,下册,图表整合,图表分析,三本书页数分别是318页、276页、305页。页数最少的是哪一本？,,318页那本,276页那本,305页那本,三本一样多,B,276页最少。,2
数学,四年级,下册,图表整合,图表分析,植树统计表：第一组24棵，第二组29棵，第三组27棵。哪一组种得最多？,,第一组,第三组,第二组,一样多,C,29棵最多，所以第二组最多。,2
数学,四年级,下册,图表整合,图表分析,水费记录：一月48元，二月52元，三月46元。哪一个月最多？,,一月,三月,三个月一样多,二月,D,52元最高，所以二月最多。,2
语文,四年级,下册,图表整合,图表阅读,课程表写着：第一节数学，第二节语文，第三节音乐，第四节科学。第三节上什么课？,,音乐,数学,语文,科学,A,课程表里第三节是音乐。,2
语文,四年级,下册,图表整合,图表阅读,值日安排表：周一小萌浇花，周二小刚擦窗，周三小乐排桌椅。周二谁擦窗？,,小萌,小刚,小乐,老师,B,值日表里周二对应小刚。,2
语文,四年级,下册,图表整合,通知理解,通知栏写着：周四下午4点在礼堂举行读书分享会。活动地点在哪里？,,操场,教室,礼堂,图书馆,C,通知中明确写着在礼堂举行。,2
语文,四年级,下册,图表整合,图表阅读,读书卡上写着：《海上日出》，作者巴金，推荐人小雨。谁是作者？,,小雨,海上日出,老师,巴金,D,读书卡上的作者一栏写的是巴金。,2
语文,四年级,下册,图表整合,图表阅读,失物招领上写着：捡到一个黑色水壶，请到门卫室领取。应该去哪里找水壶？,,门卫室,广播站,图书角,医务室,A,失物招领明确写着到门卫室领取。,2
语文,四年级,下册,图表整合,图表阅读,导览图说明：校门东边是操场，西边是艺术楼，北边是图书馆。艺术楼在校门的哪一边？,,东边,西边,北边,南边,B,导览图中写着艺术楼在西边。,2
语文,四年级,下册,图表整合,图表阅读,节目单显示：第一个节目古诗朗诵，第二个节目小合唱，第三个节目课本剧。课本剧排在第几个？,,第一个,第二个,第三个,第四个,C,节目单里课本剧排第三。,2
语文,四年级,下册,图表整合,图表阅读,作息表：8:10晨读，8:50数学，9:40课间操。8:50大家在做什么？,,晨读,课间操,放学,上数学课,D,作息表里8:50安排的是数学。,2
语文,四年级,下册,图表整合,图表阅读,借书登记表：小军借《猫》，小林借《白鹅》，小美借《母鸡》。谁借了《白鹅》？,,小林,小军,小美,老师,A,登记表中《白鹅》对应小林。,2
语文,四年级,下册,图表整合,图表阅读,天气记录：周一晴，周二小雨，周三多云。哪一天最适合晾衣服？,,周二,周一,周三,三天都不适合,B,晴天最适合晾衣服。,2
数学,四年级,下册,推理连贯,小数应用,4盒彩带，每盒12.5米，做装饰用了18米，还剩多少米？,,30米,31米,32米,33米,C,4盒彩带共50米，减去18米，还剩32米。,3
数学,四年级,下册,推理连贯,面积应用,一块长36米、宽25米的菜地，如果每9平方米种1棵树苗，一共能种多少棵？,,99,101,102,100,D,菜地面积是900平方米，900除以9等于100。,3
数学,四年级,下册,推理连贯,两步应用,学校买来18箱牛奶，每箱24盒，送出96盒后，平均分给12个班，每班分到多少盒？,,28,27,29,30,A,18箱共432盒，减去96盒还剩336盒，336除以12等于28。,3
数学,四年级,下册,推理连贯,平均数应用,5个同样的书架一共放了425本书，每个书架又取下18本修补，现在每个书架还剩多少本？,,66,67,68,69,B,每个书架原来85本，取下18本后还剩67本。,3
数学,四年级,下册,推理连贯,两步应用,一辆卡车上午运320袋大米，下午又运280袋，每25袋装一排，正好装了多少排？,,23,25,24,26,C,两次共运600袋，600除以25等于24排。,3
数学,四年级,下册,推理连贯,周长应用,长方形操场长48米，宽32米，沿四周跑2圈一共多少米？,,319,321,322,320,D,操场一圈周长是160米，跑2圈一共320米。,3
数学,四年级,下册,推理连贯,两步应用,840瓶水平均分给24个班，每班用了7瓶后还剩多少瓶？,,28,27,29,30,A,每班原来35瓶，35减7等于28瓶。,3
数学,四年级,下册,推理连贯,面积计算,3块边长15米的正方形草地，总面积是多少平方米？,,674,675,676,677,B,每块面积225平方米，3块一共675平方米。,3
数学,四年级,下册,推理连贯,人民币计算,买8本笔记本，每本4元8角，付40元，应找回多少元？,,2元6角,1元2角,1元6角,3元6角,C,8本笔记本共38元4角，40元减38元4角，应找回1元6角。,3
数学,四年级,下册,推理连贯,两步应用,一根木料长96米，先截去28米，又把剩下的平均分成4段，每段多长？,,16,18,19,17,D,剩下68米，68除以4等于17米。,3
语文,四年级,下册,推理连贯,课文理解,《乡下人家》说“不论什么时候，不论什么季节，都有一道独特、迷人的风景”，主要表达什么？,,对乡村生活的喜爱和赞美,乡下总是下雨,乡下没有人住,作者想离开乡下,A,这句话集中表达了作者对乡村生活的喜爱和赞美。,3
语文,四年级,下册,推理连贯,课文理解,《猫》先写大猫性格古怪，再写满月小猫淘气，前后这样写有什么作用？,,说明猫只会睡觉,更全面表现猫的可爱,说明猫很怕主人,说明猫不喜欢玩,B,这样写让猫的形象更加完整，也更显得可爱。,3
语文,四年级,下册,推理连贯,课文理解,《白鹅》从叫声、步态、吃相写起，主要想突出白鹅什么特点？,,胆小,懒惰,高傲,安静,C,作者从多方面写白鹅，主要是为了突出它的高傲。,3
语文,四年级,下册,推理连贯,课文理解,《母鸡》后来让作者不敢再讨厌，主要因为什么？,,母鸡飞得特别高,母鸡总爱睡觉,母鸡很会唱歌,母鸡负责、慈爱、勇敢、辛苦,D,作者被母鸡保护小鸡的样子打动了。,3
语文,四年级,下册,推理连贯,课文理解,《海上日出》随着太阳慢慢升起，景色不断变化，这样写主要让人感受到什么？,,日出的壮观,海面特别黑,风浪很小,时间过得很慢,A,按变化过程来写，更能让人感受到海上日出的壮观。,3
语文,四年级,下册,推理连贯,课文理解,《记金华的双龙洞》里乘小船穿过孔隙时，最能感觉到什么？,,外洞特别明亮,孔隙狭窄低矮,山路很平坦,水流已经干了,B,作者写仰卧小船而行，是为了突出孔隙狭窄低矮。,3
语文,四年级,下册,推理连贯,课文理解,《巨人的花园》最后告诉我们什么道理？,,花园只能一个人住,树木越高越好,快乐要和大家分享,春天不会再回来,C,故事告诉我们，和大家分享快乐才能真正幸福。,3
语文,四年级,下册,推理连贯,留言理解,留言：调查表在科学柜上层，剪刀在笔袋里，颜料在窗台旁。想找调查表应该去哪里？,,笔袋里,窗台旁,门口柜子里,科学柜上层,D,留言里明确写着调查表在科学柜上层。,3
语文,四年级,下册,推理连贯,活动顺序,活动先搜集资料，再分组讨论，最后完成海报。完成海报前要做什么？,,分组讨论,搜集资料,回家休息,先去操场,A,按顺序，完成海报前一步是分组讨论。,3
语文,四年级,下册,推理连贯,通知理解,通知：周日上午9点在校门口集合去植物园，要求8点50分前到。最晚什么时候到？,,9点整,8点50分前,8点40分,9点10分,B,通知已经写明要在8点50分前到。,3
数学,四年级,下册,速度稳定,加法速算,0.7 + 0.3 = ?,,0,2,1,3,C,0.7加0.3等于1。,3
数学,四年级,下册,速度稳定,减法速算,5.6 - 1.8 = ?,,3.6,3.4,4.8,3.8,D,5.6减1.8等于3.8。,3
数学,四年级,下册,速度稳定,乘法速算,125 × 8 = ?,,1000,999,1001,1002,A,125乘8等于1000。,3
数学,四年级,下册,速度稳定,除法速算,360 ÷ 12 = ?,,29,30,31,32,B,360除以12等于30。,3
数学,四年级,下册,速度稳定,角度判断,一个等边三角形的每个角是多少度？,,45°,90°,60°,120°,C,等边三角形每个角都是60°。,3
数学,四年级,下册,速度稳定,周长计算,一个长方形长20米、宽15米，它的周长是多少米？,,69,71,72,70,D,长方形周长是(20+15)乘2，等于70米。,3
数学,四年级,下册,速度稳定,人民币换算,0.25元等于多少分？,,25分,2分,5分,250分,A,1元等于100分，所以0.25元等于25分。,3
数学,四年级,下册,速度稳定,除法速算,480 ÷ 60 = ?,,7,8,9,10,B,480除以60等于8。,3
语文,四年级,下册,速度稳定,古诗积累,“梅子金黄杏子肥”的下一句是什么？,,日长篱落无人过,惟有蜻蜓蛱蝶飞,麦花雪白菜花稀,春来江水绿如蓝,C,这是《四时田园杂兴》里的诗句。,3
语文,四年级,下册,速度稳定,句意理解,“乡下人家，不论什么时候，都有一道独特、迷人的风景。” 这句话主要表达什么？,,乡下总是下雨,乡下没有花草,乡下特别安静,乡下景色很迷人,D,这句话直接赞美了乡下景色独特迷人。,3
语文,四年级,下册,速度稳定,近义词,“高傲”的近义词是哪一个？,,傲慢,谦虚,胆小,安静,A,“高傲”和“傲慢”意思接近。,3
语文,四年级,下册,速度稳定,标点符号,“这条小河真清啊（ ）” 句末最合适填什么标点？,,句号,感叹号,问号,逗号,B,表示赞叹时，句末常用感叹号。,3
语文,四年级,下册,速度稳定,量词搭配,“一（ ）风景”里最合适填哪个量词？,,棵,阵,道,本,C,风景通常用量词“道”。,3
语文,四年级,下册,速度稳定,反义词,“宽敞”的反义词是哪一个？,,明亮,整齐,热闹,狭窄,D,“宽敞”和“狭窄”意思相反。,3
语文,四年级,下册,速度稳定,句意理解,“小猫一下子窜上了桌子。” 这句话主要写出了小猫怎样？,,动作很快,睡得很香,声音很大,吃得很慢,A,“一下子窜上”写出了小猫动作很快。,3
语文,四年级,下册,速度稳定,文学常识,《海上日出》的作者是谁？,,老舍,巴金,叶圣陶,鲁迅,B,《海上日出》的作者是巴金。,3
数学,四年级,下册,章节冲线,综合计算,学校买来15箱练习本，每箱28本，发给6个年级共360本后，还剩多少本？,,59,61,60,62,C,15箱共420本，发出360本后还剩60本。,3
数学,四年级,下册,章节冲线,综合计算,一块长方形菜地长54米，宽26米，每6平方米种1株向日葵，一共能种多少株？,,233,235,236,234,D,菜地面积是1404平方米，1404除以6等于234。,3
数学,四年级,下册,章节冲线,综合计算,图书室有18排书架，每排32本书，又借出175本后，还剩多少本？,,401,400,402,403,A,18排共有576本，借出175本后还剩401本。,3
数学,四年级,下册,章节冲线,综合计算,商店运来12箱梨，每箱35千克，上午卖出126千克，下午又卖出98千克，还剩多少千克？,,195,196,197,198,B,12箱共420千克，两次共卖224千克，还剩196千克。,3
数学,四年级,下册,章节冲线,综合计算,一条环形跑道一圈250米，小军跑了5圈又走了180米，一共运动了多少米？,,1429,1431,1430,1432,C,5圈是1250米，再加180米，一共1430米。,3
数学,四年级,下册,章节冲线,综合计算,一块正方形花圃边长24米，沿四周围一圈护栏，已装好68米，还差多少米？,,27,29,30,28,D,正方形周长是96米，96减68等于28米。,3
数学,四年级,下册,章节冲线,综合计算,840瓶牛奶平均分给28个班，每班喝掉6瓶后还剩多少瓶？,,24,23,25,26,A,每班原来30瓶，喝掉6瓶后还剩24瓶。,3
数学,四年级,下册,章节冲线,综合计算,买6盒彩笔，每盒18元，又买2本相册，每本24元，一共花多少元？,,155,156,157,158,B,6盒彩笔108元，相册48元，一共156元。,3
数学,四年级,下册,章节冲线,综合计算,一根绳子长180米，先用去36米做跳绳，剩下的平均剪成9段，每段多少米？,,15,17,16,18,C,还剩144米，144除以9等于16米。,3
数学,四年级,下册,章节冲线,时间推算,活动8:35开始，进行了2小时25分钟，结束时是几时几分？,,10:50,11:10,11:20,11:00,D,8:35加2小时25分钟，结束时间正好是11:00。,3
语文,四年级,下册,章节冲线,通知理解,通知：5月6日上午8点10分在校门口整队，8点20分准时出发去博物馆。最晚什么时候要整好队？,,8点10分前,8点20分,8点整,8点30分,A,通知要求8点10分在校门口整队。,3
语文,四年级,下册,章节冲线,短文推理,小雯先把参观博物馆的见闻记在本子上，回家后整理成介绍卡，第二天再上台分享。上台分享前她做了什么？,,去操场跑步,整理成介绍卡,把本子丢掉,直接睡觉,B,按顺序，分享前先整理成介绍卡。,3
语文,四年级,下册,章节冲线,修辞理解,“天边的红霞像着了火一样。” 这句话把什么比作着了火？,,白云,山坡,红霞,江面,C,句子里把红霞比作着了火。,3
语文,四年级,下册,章节冲线,句意概括,《白鹅》里写白鹅走起路来慢条斯理，主要想说明什么？,,白鹅很胆小,白鹅走不动路,白鹅身体很小,白鹅十分高傲,D,这样的描写是为了突出白鹅高傲的特点。,3
语文,四年级,下册,章节冲线,活动顺序,班会先分组准备，再整理发言卡，最后上台介绍。上台介绍前要做什么？,,整理发言卡,马上回家,先去操场,打扫卫生,A,按顺序，上台介绍前一步是整理发言卡。,3
语文,四年级,下册,章节冲线,词语理解,“闪闪烁烁”最适合形容什么样子？,,声音越来越大,光亮忽明忽暗,跑得特别快,颜色很整齐,B,“闪闪烁烁”形容光亮不停闪动。,3
语文,四年级,下册,章节冲线,课文理解,《巨人的花园》最后最想告诉我们什么？,,花园越大越好,孩子不能玩耍,有快乐要和大家分享,树木不能开花,C,故事结尾告诉我们，快乐应该和大家分享。,3
语文,四年级,下册,章节冲线,标点符号,“多么可爱的白鹅啊（ ）” 句末最合适填什么标点？,,句号,问号,逗号,感叹号,D,表示赞叹时，句末应该用感叹号。,3
语文,四年级,下册,章节冲线,词语运用,下面哪句话最能体现“专心致志”？,,他做实验时一直盯着刻度看。,他一会儿做题一会儿玩。,他刚写两笔就去聊天。,他听课时总看窗外。,A,一直专心盯着刻度看，最能体现专心致志。,3
语文,四年级,下册,章节冲线,活动顺序,研学时，大家先听老师提醒安全事项，再乘车去基地，午饭后制作标本。制作标本前大家做了什么？,,直接回家,先听提醒，再乘车到基地并吃午饭,先考试,马上看电影,B,按活动顺序，制作标本前先听提醒、乘车到基地，再吃午饭。,3
数学,五年级,上册,结构拆题,小数乘法,3.6 × 10 = ?,,36,35,37,38,A,3.6乘10，小数点向右移动一位，结果是36。,1
数学,五年级,上册,结构拆题,面积公式,一个平行四边形底8厘米，高5厘米，面积是多少平方厘米？,,39,40,41,42,B,平行四边形面积是底乘高，8乘5等于40。,1
数学,五年级,上册,结构拆题,简易方程,x + 2.8 = 5.6，x = ?,,2.6,3.6,2.8,3.8,C,5.6减2.8，x等于2.8。,1
语文,五年级,上册,结构拆题,课文理解,《白鹭》里，作者把白鹭比作什么？,,一幅热闹的画,一阵急雨,一条宽阔的河,一首精巧的诗,D,课文中把白鹭比作一首精巧的诗。,1
语文,五年级,上册,结构拆题,课文理解,《落花生》里，父亲借花生告诉孩子们什么？,,做人要做有用的人,只要外表好看就行,要多吃花生,要把花生种在院子里,A,父亲借花生告诉孩子们要做有用的人。,1
语文,五年级,上册,结构拆题,课文理解,《搭石》里，乡亲们摆搭石最看重什么？,,让自己先过去,让别人过河方便,让石头更漂亮,让河水变浅,B,课文写乡亲们摆搭石是为了让大家过河方便。,1
数学,五年级,上册,证据比对,小数比较,3.45和3.54相比，哪个更大？,,3.45,一样大,3.54,没法比较,C,先比较十分位，再比较百分位，3.54更大。,1
数学,五年级,上册,证据比对,单位换算,0.75千克等于多少克？,,75克,705克,7.5克,750克,D,1千克等于1000克，所以0.75千克等于750克。,1
数学,五年级,上册,证据比对,三角形面积,一个三角形底10厘米，高8厘米，面积是多少平方厘米？,,40,39,41,42,A,三角形面积是底乘高再除以2，10乘8除以2等于40。,1
数学,五年级,上册,证据比对,简易方程,2x = 9.6，x = ?,,3.8,4.8,4.6,5.8,B,9.6除以2，x等于4.8。,1
数学,五年级,上册,证据比对,周长计算,一个长方形长12厘米、宽5厘米，周长是多少厘米？,,33,35,34,36,C,长方形周长是(12+5)乘2，等于34厘米。,1
语文,五年级,上册,证据比对,课文理解,《将相和》中“完璧归赵”的人是谁？,,廉颇,赵王,秦王,蔺相如,D,“完璧归赵”的主要人物是蔺相如。,1
语文,五年级,上册,证据比对,民间故事,《猎人海力布》里，海力布为什么变成了石头？,,因为他说出了动物的秘密,因为他迷路了,因为他不肯打猎,因为他丢了宝石,A,海力布为了救乡亲们，说出了秘密，最后变成了石头。,1
语文,五年级,上册,证据比对,民间故事,《牛郎织女》里，牛郎和织女一年相会一次是在什么时候？,,正月初一,七月初七,八月十五,九月初九,B,故事中他们在每年七月初七相会。,1
语文,五年级,上册,证据比对,通知理解,通知：周六上午8点在图书馆门口集合去研学，请同学们7点50分前到。最晚什么时候到？,,8点整,7点40分,7点50分前,8点10分,C,通知要求7点50分前到。,1
语文,五年级,上册,证据比对,关联词判断,“因为准备充分，所以比赛赢了。” 前后分句关系是什么？,,并列,转折,选择,因果,D,“因为……所以……”表示因果关系。,1
数学,五年级,上册,关系推断,小数应用,买2支钢笔，每支8.5元，又买1本6.8元的练习册，一共要付多少元？,,23.8元,22.8元,23.3元,24.8元,A,两支钢笔共17元，再加6.8元，一共23.8元。,2
数学,五年级,上册,关系推断,小数减法,一根绳子长22.5米，剪下6.4米后，还剩多少米？,,15.1米,16.1米,16.9米,17.1米,B,22.5减6.4等于16.1米。,2
数学,五年级,上册,关系推断,多步计算,4桶油，每桶3.5千克，用去4.8千克后，还剩多少千克？,,8.2千克,9.8千克,9.2千克,10.2千克,C,4桶共有14千克，用去4.8千克后还剩9.2千克。,2
数学,五年级,上册,关系推断,简易方程,x - 4.6 = 7.8，x = ?,,11.4,12.2,13.4,12.4,D,7.8加4.6，x等于12.4。,2
数学,五年级,上册,关系推断,三角形面积,一个三角形底16厘米，高5厘米，面积是多少平方厘米？,,40,39,41,42,A,16乘5除以2，面积是40平方厘米。,2
语文,五年级,上册,关系推断,顺序理解,小杰先查资料，再列提纲，最后完成演讲稿。完成演讲稿前一步是什么？,,查资料,列提纲,回家休息,上台演讲,B,按顺序，完成演讲稿前一步是列提纲。,2
语文,五年级,上册,关系推断,课文理解,《将相和》里，廉颇后来负荆请罪，最主要是因为什么？,,他想去旅游,他丢了宝剑,他知道自己错了,赵王命令他,C,廉颇认识到自己不该嫉妒蔺相如，所以去请罪。,2
语文,五年级,上册,关系推断,条件理解,通知：如果下雨，朗诵会改在礼堂举行；如果不下雨，就在操场举行。下雨时朗诵会在哪里举行？,,操场,教室,图书馆,礼堂,D,通知里已经说明下雨时改在礼堂举行。,2
语文,五年级,上册,关系推断,课文理解,《什么比猎豹的速度更快》里，最后说明什么最快？,,光,猎豹,游隼,火箭,A,课文层层比较，最后说明光最快。,2
语文,五年级,上册,关系推断,课文理解,《圆明园的毁灭》主要表达了作者怎样的感情？,,轻松和快乐,痛惜与愤慨,得意和自豪,好奇和兴奋,B,课文表达了对圆明园毁灭的痛惜和愤慨。,2
数学,五年级,上册,多项统整,图表分析,文具价格表：钢笔8.5元，文件夹6.8元，笔记本4.5元。最便宜的是哪一种？,,钢笔,文件夹,笔记本,一样便宜,C,4.5元最低，所以笔记本最便宜。,2
数学,五年级,上册,多项统整,图表分析,借书记录：故事书125本，科普书138本，历史书116本。借出最多的是哪一类？,,故事书,历史书,一样多,科普书,D,138本最多，所以科普书借出最多。,2
数学,五年级,上册,多项统整,图表分析,水果重量表：苹果2.6千克，橙子3.1千克，梨2.8千克。最重的是哪一种？,,橙子,苹果,梨,一样重,A,3.1千克最大，所以橙子最重。,2
数学,五年级,上册,多项统整,图表分析,跳远成绩表：小林1.68米，小军1.72米，小安1.65米。谁跳得最远？,,小林,小军,小安,三人一样远,B,1.72米最大，所以小军跳得最远。,2
数学,五年级,上册,多项统整,图表分析,班车时刻表：第一班8:05，第二班8:20，第三班8:35。最早发车的是哪一班？,,第二班,第三班,第一班,一样早,C,8:05最早。,2
数学,五年级,上册,多项统整,图表分析,气温记录：周一26℃，周二29℃，周三27℃。哪一天最热？,,周一,周三,三天一样热,周二,D,29℃最高，所以周二最热。,2
数学,五年级,上册,多项统整,图表分析,展板面积表：第一块42平方分米，第二块38平方分米，第三块45平方分米。面积最大的是哪一块？,,第三块,第一块,第二块,一样大,A,45平方分米最大。,2
数学,五年级,上册,多项统整,图表分析,三本书页数分别是236页、214页、259页。页数最少的是哪一本？,,236页那本,214页那本,259页那本,三本一样多,B,214页最少。,2
数学,五年级,上册,多项统整,图表分析,球类数量表：篮球26个，足球32个，排球28个。数量最多的是哪一种？,,篮球,排球,足球,一样多,C,32个最多，所以足球最多。,2
数学,五年级,上册,多项统整,图表分析,节水统计：第一周36吨，第二周42吨，第三周39吨。哪一周节水最多？,,第一周,第三周,一样多,第二周,D,42吨最多，所以第二周节水最多。,2
语文,五年级,上册,多项统整,图表阅读,课程表写着：第一节语文，第二节数学，第三节科学，第四节体育。第三节上什么课？,,科学,语文,数学,体育,A,课程表中第三节是科学。,2
语文,五年级,上册,多项统整,图表阅读,值日安排表：周一小文擦黑板，周二小雅整理图书，周三小军浇花。周二谁整理图书？,,小文,小雅,小军,老师,B,值日表中周二对应小雅。,2
语文,五年级,上册,多项统整,图表阅读,阅读卡上写着：《白鹭》，作者郭沫若，推荐人小雨。谁是作者？,,小雨,白鹭,郭沫若,老师,C,阅读卡作者一栏写的是郭沫若。,2
语文,五年级,上册,多项统整,通知理解,通知栏写着：周五下午4点在报告厅举行诗歌会。活动地点在哪里？,,操场,图书馆,教室,报告厅,D,通知中写明在报告厅举行。,2
语文,五年级,上册,多项统整,图表阅读,失物招领上写着：捡到一把蓝色雨伞，请到门卫室领取。应该去哪里找雨伞？,,门卫室,广播站,图书角,医务室,A,失物招领写着到门卫室领取。,2
语文,五年级,上册,多项统整,图表阅读,导览图说明：校门东边是操场，北边是图书馆，西边是食堂。图书馆在校门的哪一边？,,东边,北边,西边,南边,B,导览图里写着图书馆在北边。,2
语文,五年级,上册,多项统整,图表阅读,节目单显示：第一个节目合唱，第二个节目朗诵，第三个节目舞蹈。朗诵排在第几个？,,第一个,第三个,第二个,第四个,C,节目单中朗诵排第二。,2
语文,五年级,上册,多项统整,图表阅读,借书登记表：小红借《猎人海力布》，小军借《将相和》，小美借《白鹭》。谁借了《将相和》？,,小红,小美,老师,小军,D,登记表里《将相和》对应小军。,2
语文,五年级,上册,多项统整,图表阅读,活动流程表：8:00签到，8:20听讲解，9:00分组参观。9:00大家要做什么？,,分组参观,签到,听讲解,回学校,A,流程表里9:00安排的是分组参观。,2
语文,五年级,上册,多项统整,图表阅读,作息表：8:10晨读，8:50数学，9:40课间操。8:50大家在做什么？,,晨读,上数学课,课间操,放学,B,作息表里8:50安排的是数学。,2
数学,五年级,上册,表达判断,小数应用,12盒彩带，每盒2.5米，用去6.8米后，还剩多少米？,,22.2米,23.8米,23.2米,24.2米,C,12盒彩带共30米，减去6.8米后还剩23.2米。,3
数学,五年级,上册,表达判断,面积应用,一块长方形菜地长36米，宽24米，每8平方米种1棵树苗，一共能种多少棵？,,107,109,110,108,D,菜地面积是864平方米，864除以8等于108。,3
数学,五年级,上册,表达判断,多步计算,15箱苹果，每箱24千克，卖出86千克后，还剩多少千克？,,274,273,275,276,A,15箱共有360千克，减去86千克，还剩274千克。,3
数学,五年级,上册,表达判断,面积应用,一个平行四边形底25米，高12米，每5平方米种1棵花苗，一共能种多少棵？,,59,60,61,62,B,面积是300平方米，300除以5等于60。,3
数学,五年级,上册,表达判断,小数应用,一条公路长48.6千米，已经修好18.9千米，又修好12.7千米，还剩多少千米？,,16千米,17.8千米,17千米,18千米,C,48.6减18.9再减12.7，正好还剩17千米。,3
